INDEX,EXPRESSION,DATETIME,CLOSE
0,D6U21-D6Z21,2021-06-01T02:03:00,0.0002
1,D6U21-D6Z21,2021-06-01T02:04:00,-0.00185
2,D6U21-D6Z21,2021-06-01T02:05:00,-0.0019
3,D6U21-D6Z21,2021-06-01T02:06:00,-0.00195
4,D6U21-D6Z21,2021-06-01T02:09:00,-0.00175
5,D6U21-D6Z21,2021-06-01T02:15:00,-0.0017
6,D6U21-D6Z21,2021-06-01T02:20:00,-0.00165
7,D6U21-D6Z21,2021-06-01T02:30:00,-0.00135
8,D6U21-D6Z21,2021-06-01T02:31:00,-0.00135
9,D6U21-D6Z21,2021-06-01T02:33:00,-0.00125
10,D6U21-D6Z21,2021-06-01T02:39:00,-0.00105
11,D6U21-D6Z21,2021-06-01T02:47:00,-0.0011
12,D6U21-D6Z21,2021-06-01T03:23:00,-0.0012
13,D6U21-D6Z21,2021-06-01T03:25:00,-0.00145
14,D6U21-D6Z21,2021-06-01T03:28:00,-0.0017
15,D6U21-D6Z21,2021-06-01T03:38:00,-0.00195
16,D6U21-D6Z21,2021-06-01T03:39:00,-0.00195
17,D6U21-D6Z21,2021-06-01T03:40:00,-0.00185
18,D6U21-D6Z21,2021-06-01T03:49:00,-0.00175
19,D6U21-D6Z21,2021-06-01T03:55:00,-0.00145
20,D6U21-D6Z21,2021-06-01T04:00:00,-0.00135
21,D6U21-D6Z21,2021-06-01T04:01:00,-0.00125
22,D6U21-D6Z21,2021-06-01T04:05:00,-0.00155
23,D6U21-D6Z21,2021-06-01T04:35:00,-0.00195
24,D6U21-D6Z21,2021-06-01T05:01:00,-0.0024
25,D6U21-D6Z21,2021-06-01T05:21:00,-0.00235
26,D6U21-D6Z21,2021-06-01T05:30:00,-0.00245
27,D6U21-D6Z21,2021-06-01T05:35:00,-0.0024
28,D6U21-D6Z21,2021-06-01T05:43:00,-0.0024
29,D6U21-D6Z21,2021-06-01T05:44:00,-0.00225
30,D6U21-D6Z21,2021-06-01T05:50:00,-0.00205
31,D6U21-D6Z21,2021-06-01T05:55:00,-0.0018
32,D6U21-D6Z21,2021-06-01T06:02:00,-0.0018
33,D6U21-D6Z21,2021-06-01T06:03:00,-0.0017
